

Kanji	Meanings	Primitive Alternatives	Primitives	Heisig Keyword (1-5)	Heisig Keyword (6+)	Primitive Keywords	Heisig Story	Heisig Comment	Radicals
歹	bare bone, bad, wrong, death radical (n. 78)		一夕			bones	This character is meant to be a pictograph of a <b>bone</b> attached to a piece of flesh (or vice versa.) The first stroke serves to keep it distinct from the character for <i>evening</i> (frame 109). [4]		歹
[piglets]		一勿				piglets	This abbreviation of the full primitive for a sow, quite naturally, means <b>piglets</b>. [5]	Editor's note: Combination of a pictograph and mnemonics: Row of <b>piglets</b>, <i>one</i> of which (the rightmost) has its tail curved, almost as if it's been tied to a "knot" (勿 not)	

# add 倣 emulate primitive
傲	be proud		人土方攵倣	arrogance	arrogance		<i>Person</i> . . . <i>soil</i> . . . <i>compass</i> . . . <i>taskmaster</i>. You may, of course, take the character for <i>emulate</i> from the previous frame as the basis for this kanji, adding to it only the element for <i>soil</i>.		⺅土方攵


# snare is NOT a slingshot !
丂	obstruction of breath (qi) as it seeks release, variant of other characters					snare	The simple <b>snare</b> composed of a piece of vine and a bent twig is depicted here as a sort of abbreviation of the bow, to which it is related. [2]		一勹
# add snare reference for comparison
[slingshot]						slingshot	The <b>slingshot</b> differs from the snare (丂) by virtue of the first stroke, which you may take as the strip of rubber you pull back on, to make the <b>slingshot</b> sling. [2]		

# add 'half' reference for comparison
[quarter]						quarter	This character simply splits the vertical stroke of a half (半) in half once again, to get a <b>quarter</b>. In so doing, it spreads the split stroke out to form a sort of enclosure under which its main relative primitive will be placed. It can be used either in its substantive or verbal meaning. [6]		


######## Add primitive references from RK3: New kanji from old primitives
# 采 'grab' primitive. 
彩	coloring, paint, makeup		爪木采彡	coloring	coloring		Vulture . . . tree . . . shape.		爪木彡

# 或 'a certain' primitive
或	some, one, or, possibly, a certain		戈口一或	a  (a certain)	a  (a certain)				口戈一
域	range, region, limits, stage, level		土戈口一或	range	range		From its original meaning of a defined area or z<i>one</i>, a <b>range</b> has also come to mean a grazing <i>land</i> where cowboys roam and do whatever it is they do with cows. When the herds have all been driven to market, there is a great homecoming <i>fiesta</i> like that pictured here. As soon as the cowboys come home, home on the <b>range</b>, the first thing they do is kiss the ground (the <i>mouth</i> on the <i>floor</i>), and then get on with the <i>fiesta</i>. [11]		口土戈
惑	beguile, delusion, perplexity		戈口一或心	beguile	beguile		The first three elements, <i>fiesta</i> . . . <i>mouth</i> . . . <i>floor</i>, appeared together once already in frame 380. Beneath them, once again, the <i>heart</i>.		口心戈

# 韭 'green onion' primitive
韭	leek radical (no. 179)		非一			green onion	un- ... floor. [9]		韭

# fix typos in Heisig story
艹	grass, grass radical (no. 140)	艸				flowers	We are not yet equipped with all the pieces necessary to learn the character for flower, so shall have to content ourselves here with the first three strokes 艹, which represent the primitive of the same meaning. Concentrate on the actual “bloom” of the flower, and keep a particular flower in mind. Try a rose, a tulip, or a daisy, since none of them will have their own kanji. [3]		⺾屮

# fix story
模	imitation, copy, mock		木莫	imitation	imitation		Ah, but haven’t modern graveyards become a parody of their ancestors! The flowers are plastic, the writing on the stones is unimaginative and cold, and the whole thing looks more like a marble orchard than a right and proper graveyard. This kanji continues with the modernization trend by picturing imitation trees in the graveyard. But of course, how convenient! They don’t need pruning or fertilizing, their leaves don’t fall, and they remain the same color all year long. [14]		大日木⺾

####### fix primitives
刖	cutting off feet as form of punishment		月刀			butcher	We see the elements for flesh and saber, which combine to create a compound element for a <b>butcher</b> and his trade		刂月
無	nothingness, none, ain't, nothing, nil, not		𠂉[oaken_tub]火	nothingness	nothingness		This character is the Japanese character for the supreme philosophical principle of much Oriental thought: <b>nothingness</b>. Make use of the oaken <i>tub</i> from the previous frame, and add to that the <i>oven fire</i> at the bottom.		｜ノ一灬無
乱	riot, war, disorder, disturb		舌乙	riot	riot		In a <b>riot</b>, manners are laid aside and tempers get short, even in so courtesy-conscious a land as Japan. This kanji shows what happens to a <b>rioting</b> <i>tongue</i>: it gets "barbed" like a <i>fishhook</i>, and sets to attacking the opposition, to <i>hook</i> them as it were.		乙口舌
検	examination, investigate		木㑒	examination	examination		Tree . . . awl.		口人木𠆢
倹	frugal, economy, thrifty		人㑒	frugal	frugal		Person . . . awl.		⺅口人𠆢
齢	age		歯令	age	age		This character is used to express the years of one's <b>age</b>. Its elements: <i>teeth</i> . . . <i>orders</i>.		止歯米𠆢凵卩
噛	chew, bite, gnaw		口歯	chew	chew				口止歯米
墨	black ink, India ink, ink stick, Mexico		黒土	black ink	black ink		Besides meaning <b>black ink</b>, this kanji also appears in the word for an inked string that is pulled taut and snapped to mark a surface, much the same as one might used a chalked string. Here it is used to mark off the <i>dirt</i> with <i>black</i> lines for a foot ballgame (played, I presume, on a white field).		黒土里灬
走	run		十[mending]	run	run		<b>Running</b>, we are told here, <i>mends</i> the <i>soil</i>. Observe in the following frames how this kanji can embrace other elements from below, much the same way as the element for <i>road</i> does; and how, in order to do this, the final stroke needs to be lengthened.		走土
至	climax, arrive, proceed, reach, attain, result in		[wall]土	climax	climax		<i>Wall</i> . . . <i>soil</i>. The key word allows for the full variety of connotations: to peak, to arrive at the end, and the like.		一至土厶
益	benefit, gain, profit, advantage		丷䒑ハ皿	benefit	benefit		Poised over the <i>dish</i> here is a pair of <i>animal horns</i> that are attached to a pair of <i>animal legs</i> by a single horizontal stroke.		一皿ハ并


䒑	grass, straw, herbs, weeds					weeds	-	Editor's notes: This element was not introduced in RTK by Heisig but it's referenced in Kanji GOD by few kanjis. You can use this this primitive as it is (instead of row 並 or animal horns 丷) or alternatively you can use the row 並 primitive as described by Heisig, of which this primitive is part of.  You can decide case by case for each kanji this element is introduced in	一并

###### 衣 and 衤: Let's keep the 'cloak' separate entities since they are so distinct visually
衤	clothes, clothing radical (no. 145)					cloak	This is a variation of the <i>garment</i> primitive (衣). When it appears to the left, it looks like a hiragana ne (ネ) with an extra drop on the right (衤), and we shall take it to mean <i>cloak</i>.		衤
袖	sleeve, wing (building), extension, give cold shoulder		衤由	sleeve	sleeve		Cloak . . . sprout.		｜一衤田
襟	collar, neck, lapel, one's inner feelings		衤禁	collar	collar		Cloak . . . prohibition.		示二小衤木
褐	brown, woollen kimono		衤日匂[siesta]	brown	brown		The color of the serape or <i>cloak</i> of our muchacho on <i>siesta</i> is a dull <b>brown</b>, the color this kanji indicates.		衤日勹匕
衿	neck, collar, lapel		衤今	lapel	lapel				衤𠆢

###### keep scarf 𧘇 as a separate sub-primitive
𧘇		[scarf-unhooked]				scarf	A pictographic representation of a <b>scarf</b>. A sub-element of primitive <i>garment</i> (衣).	Note that when any of the above forms have something beneath them (as in frame 429 遠), the third from final stroke is "unhooked.": [scarf-unhooked]	
衣	garment, clothes, dressing	[top_hat_and_scarf]	亠𧘇	garment	garment		At the top we see the <i>top hat</i>, and at the bottom a pictographic representation of the folds of a <b>garment</b> or a <i>scarf</i>. If you break the "4-fold" fold into 2 sets of 2 strokes, you will find it easier to remember.	Used as a primitive, the additional meaning of a <i>cloak</i> will come in handy. What has to be noted particularly are the changes in shape the kanji can undergo when it becomes an element in other kanji. In fact, it is the most volatile of all the kanji we shall treat, and for that reason deserves special attention here. When it appears to the left, it looks like a hiragana ne (ネ) with an extra drop on the right (衤), and we shall take it to mean <i>cloak</i>.  On rare occasions, the element can be torn right across the middle, with the first 2 strokes appearing at the top and the last 4 at the bottom of another primitive or cluster of primitive, in which cases we shall speak of a <i>top hat and scarf</i>. And finally, of course, it can keep its original kanji shape, along with its original meaning of <i>garment</i> in general. 	衣亠
環	ring, circle, link, wheel		王罒一口𧘇	ring	ring		<i>Jewel</i> . . . <i>eye</i> . . . <i>ceiling</i> . . . <i>mouth</i> . . . <i>scarf</i>. The number of elements is large here, so take extra care. Learn it in conjunction with the next frame, since these are the only two cases in this book where the combination of elements to the right appears.		衣王口罒一
還	send back, return		罒一口𧘇辶	send back	send back		<i>Road</i> . . . <i>eye</i> . . . <i>ceiling</i> . . . <i>mouth</i> . . . scarf.		衣口辶罒一

####### fix 'mouth' vs 'pent in' primitive references
囗	box, box or enclosure radical (no. 31)					pent in	This primitive depicts a corral or pen surrounding something, which is thus <b>pent in</b>. [3]	Editor's note: The difference between 'pent in' and 'mouth' is that the former encloses the other primitives whereas the latter is mixed between them and can sometimes even overlap them.	囗口
口	mouth		口	mouth	mouth		Like several of the first characters we shall learn, the kanji for <b>mouth</b> is a clear pictograph. Since there are no circular shapes in the kanji, the square must be used to depict the circle.	As a primitive, this form also means <i>mouth</i>. Any of the range of possible images that the word suggests - an opening or entrance to a cave, a river, a bottle, or even the largest hole in your head - can be used for the primitive meaning. Editor's note: The difference between 'pent in' and 'mouth' is that the former encloses the other primitives whereas the latter is mixed between them and can sometimes even overlap them.	囗口
曰	say, reason, pretext, history, past, flat sun radical (no. 73)		口一	sayeth	sayeth		Pent in ... one. The key word refers to famous sayings of famous people, and is the origin for the primitive meaning of a tongue wagging in the mouth that we learned in FRAME 12. The size of this kanji, a relatively rare one, is what distinguishes it from day. [4]		曰
[lidded_crock]			土口			lidded crock	<i>Soil</i> over the <i>mouth</i> of a container gives us a piece of clay pottery with its lid. Behold the <b>lidded crock</b>. [6]		土囗

# update comment
母	mother	毋[mama-top]	母	mama	mama	breasts	Look closely at this kanji and you will find the outline of the kanji for <i>woman</i> in it, the second stroke of which has been expanded to make space for the two <b>breasts</b> that make her a <b>mama</b>. Likening this sound to a baby nursing at its mother's breast has afforded some scholars of comparative linguistics a way to explain the presence of the same word across a wide range of language groups.	As a primitive we shall add the meaning of <i>breasts</i> in accord with the explanation given above. Take careful note of the fact that the form is altered slightly when this kanji serves as a primitive, the final two dots joining together to form a longer stroke (毋).	母毋
⺍						owl	We have already met these three strokes before. When they come under another stroke, they represent a claw, and thence a vulture (爫). And when placed atop a roof structure, they create a schoolhouse (龸). The <b>owl</b> has something to do with both: it is a bird of prey, and it has come to be associated in the popular imagination with learning. [3]		

###### fix tiger primitive reference from 虍 to 虎
虐	tyrannize, oppress		虎匚一	tyrannize	tyrannize		<i>Tiger</i> . . . <i>box</i> with a <i>one</i> in it (or a backwards <i>broom</i>, if that makes it easier).		卜匕匚厂虍
虚	void, emptiness, unpreparedness, crack, fissure, untruth		虎业並	void	void	hollow	Tigers . . . <i>row</i>.		一卜匕厂虍
膚	skin, body, grain, texture, disposition		虎胃	skin	skin		Tiger . . . stomach.		月田卜匕厂虍
虜	captive, barbarian, low epithet for the enemy		虎男	captive	captive		Tiger . . . man.		田卜力匕厂虍
虔	respect		虎文	reserved	reserved				文卜匕厂虍
濾	filter		虎思水	strainer	strainer				氵田心厂卜
虞	fear, uneasiness, anxiety, concern, expectation, consideration		虎呉	uneasiness	uneasiness		Tiger . . . give.		口ハ卜匕厂虍
彪	spotted, mottled, patterned, small tiger		虎儿彡	mottled					卜儿匕厂彡虍

### add missing primitive keywords
气	spirit, steam radical (no. 84)		𠂉一乙			spirit	Spirit radical - a main component of its full kanji (気). Its elements are: <i>reclining</i> . . . <i>floor</i> . . . <i>fishhook</i>  Do not confuse with <i>spirits</i> (Frame 1930).		气
冖	wa-shaped crown radical (no. 14)					crown	This pictograph of a simple <b>crown</b> is distinguished from the roof only by the absence of the chimney (the first <i>drop</i> at the top). It can be used for all the principal connotations of the word <b>crown</b>. We will meet the full character from which this element is derived later on, in FRAME 326. [2]		冖

# removed 'Ma' primitive keyword
マ		ㄗ				chop-seal	The <b>chop-seal</b> (ㄗ) is the engraved piece of wood or stone used in the Orient to certify documents. Unlike the stamp (卩), the top stroke here reaches a good distance to the left of its vertical stroke. When it appears at the top of another primitive, it is abbreviated to マ		

#### 开 'two hands' primitive
# Add primitive alternative 廾
开	open, initiate, begin, start	廾				two hands	Let this primitive represent a union of <b>two hands</b>, both of which are used at the same time. Whenever this element appears at the bottom of its relative primitive, the top line is omitted (廾), whether or not there is a horizontal line to replace it. [4]		一ノ十干廾

####### fix primitive references from 廾 to 开
弁	valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap		厶开	valve	valve		Elbow . . . two hands.		厶廾
算	calculate, divining, number, abacus, probability		竹目开	calculate	calculate		Bamboo . . . eyes . . . two hands.		竹目廾
葬	interment, bury, shelve		艹死开	interment	interment		<i>Flowers</i> . . . <i>death</i> . . . <i>two hands</i>. Do not confuse with <i>bury</i> (Frame 191).		一夕匕廾⺾
戒	commandment		戈开	commandment	commandment		Two hands . . . fiesta.		廾戈
弄	play with, tamper, trifle with		玉开	tinker with	tinker with		Jewel . . . two hands.		王廾
弊	abuse, evil, vice, breakage		敝开	abuse	abuse		Shredder . . . two hands.		｜巾⺌并冂廾攵


###### Add 'upside down in a row' primitive keyword and remove 'average'
並	row, and, besides, as well as, line up, rank with, rival, equal	[row-bottom][in_a_row_upside_down]	䒑业	row	row	upside down in a row 	This character represents a slightly stylized duplication of the kanji for <i>stand up</i>. By lengthening the sixth and seventh strokes, you will see how this is done.	The primitive meaning remains the same as that of the kanji, but special attention has to be given to the varieties of shape this element can undergo. It is the most difficult one you will meet in this book. When it appears BENEATH its relative primitive, the top three strokes are omitted ([row-bottom]), though the third horizontal stroke may be doubled up with the bottom horizontal stroke of the element above it (as in 繊 or 湿). ATOP its relative primitive, it can keep its kanji shape. When it does not, the top three strokes are removed and all of them are replaced BELOW the primitive's bottom line ([in_a_row_upside_down] as in 業). We shall acknowledge this latter transformation by changing its meaning to <i>upside down in a row</i>. Editor's note: You can use the row 並 primitive as described by Heisig, or you can switch to use it's basic components 业 (spikes) and 䒑 (grass, weeds) which were not included in RTK. You can decide case by case for each kanji these elements are introduced in.   	｜一二并

###### 丿 'katakana' primitive
丿	katakana no radical (no. 4)					katakana	This is a non-Heisig primitive, added as a reference to those kanjis which contain one stroke such as this and in which Heisig doesn't explicitely state it should be a 'drop' ( 丶 )primitive		ノ

###### 亦 apple / 赤 red primitives
亦	also, again		亠刀小			apple	<i>Top hat</i> . . . <i>dagger</i> . . . <i>little</i>. The two strokes of the <i>dagger</i> take the place of the middle stroke of <i>little</i>.		ノハ亅亠
赤	red	亦	一亦	red	red		<i>Ground</i> . . . <i>dagger</i> . . . <i>little</i>. The two strokes of the <i>dagger</i> take the place of the middle stroke of <i>little</i>.	As a primitive on the left, this kanji keeps the same form. Elsewhere, the first two strokes are abbreviated to a single dot (亦). This latter form will take the meaning of an <i>apple</i>.	赤土

###### 天 heaven / 夭 witch
夭	early death, calamity		一大			witch	Pay special attention to the fact that here the first stroke is written right to left, rather like the first stroke of thousand (FRAME 40), rather than left to right (天 heavens)		ノ大
天	heavens, sky, imperial		一大	heavens	heavens		This character is meant to be a pictograph of a great man, said to represent the Lord of the <b>Heavens</b>. (You may, of course, use the elements <i>ceiling</i> and <i>St. Bernard</i> instead.)	The primitive can mean either the <i>heaven</i> of eternal bliss or the general term for sky, the <i>heavens</i>. Pay special attention to the fact that in its primitive form the first stroke is written right to left, rather like the first stroke of thousand (Frame 40), rather than left to right. From the next character, we shall give it the primitive meaning of a <i>witch 夭</i>.	一大
矢	dart, arrow		ノ丶天	dart	dart		When shot high into the <i>heavens</i>, the <b>dart</b> gets so small it looks like a mere <i>drop</i>. Although this character could as well mean "arrow," it has no connection with the primitive of that meaning. Hence the new key word.		ノ大一矢

# This is actually 'witch' and not 'heavens' (mistake in Heisigs' book)
笑	laugh		竹夭	laugh	laugh		Bamboo . . . witch.		禾竹大

##### 禺 'talking cricket' primitive 
禺	long-tailed monkey		田虫冂			talking cricket	we may combine the <i>insect</i> with a <i>brain</i> (observe the writing) and a <i>belt</i> to create the <i>Talking Cricket</i> who served as Pinocchio's conscience. (<i>The belt</i> is there because he pulls it off to give unrepentant little Pinocchio a bit of "strap" now and again.)		田日禸冂
偶	accidentally, even number, couple, man & wife, same kind		人禺	accidentally	accidentally		The <i>person</i> on the left is familiar. As for the right side, we can see the <i>Talking cricket</i> 		⺅田冂厶禸

###### 聿 brush: fix 'brush top' image
聿	brush, finally, self, relate, follow, here, fast, writing brush radical (no. 129)	[brush-top]	一肀			brush	This primitive element, not itself a kanji, is a pictograph of a writing <b>brush</b>. Let the first 3 strokes represent the hairs at the tip of the <b>brush</b>, and the following two strokes the thumb and forefinger that guide it when you write. Note how the long vertical stroke, cutting through everything, is drawn last. This is standard procedure when you have such a stroke running the length of a character. However, as we saw in the case of <i>cow</i>, when this primitive appears on top of another primitive, its “tail” is cut off ([brush-top]) [6]		聿


####### Remove references to odd archaic primitives without Heisig keyword. 
## Let's keep these in mind though, since they could become handy if they are shared by more than one kanji so we could crowdsource their keyword and mnemonics
# removed 甬
通	traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.		マ用辶	traffic	traffic		<i>Chop-seal</i> . . . <i>utilize</i> . . . <i>road</i>. By combining the first two primitives into a single image, you will be able to use that image in a few instances later, one of which comes immediately.		辶用マ
踊	jump, dance, leap, skip		足マ用	jump	jump		Wooden <i>leg</i> . . . <i>chop-seal</i> . . . <i>utilize</i>.		口足用マ
樋	water pipe, gutter, downspout, conduit		木マ用	downspout	downspout				辶木用マ
# removed 帚
帰	homecoming, arrive at, lead to, result in		[spear]ヨ[apron]	homecoming	homecoming		<i>Spear</i> . . . <i>broom</i> . . . <i>apron</i>. The character for <i>lady</i> (Frame 1234) shares the same right side as this character, which does not bode for a very happy <b>homecoming</b>.		ヨ刂巾冖
# removed 袁. Also moved reference from 衣 garment to more basic 𧘇 scarf
猿	monkey		犬[lidded_crock]𧘇	monkey	monkey		This clever little <b>monkey</b> has captured an entire pack of <i>wild dogs</i>, locked them inside a <i>lidded crock</i>, and wrapped the whole thing up in a silk <i>scarf</i> to present to the <i>dog</i>catcher.		衣口土犭
遠	distant, far		[lidded_crock]𧘇辶	distant	distant		A <b>distant</b> figure on the <i>road</i> is such a blur it looks like a <i>lidded crock</i> wearing a silk <i>scarf</i>.		衣口辶土
園	park, garden, yard, farm		囗[lidded_crock]𧘇	park	park		<i>Pent in</i> . . . <i>lidded crock</i> . . . <i>scarf</i>.		衣口土囗
# removed 侖
論	argument, discourse		言亼冊	argument	argument		<i>Words</i> ... <i>meeting</i> ... <i>scrapbook</i>. The <b>argument</b> here is a process of academic reasoning, not a personal quarrel or spat. [15]		｜一言𠆢冊
輪	wheel, ring, circle, link, loop, counter for wheels and flowers		車亼冊	wheel	wheel		<i>Car</i> . . . <i>meeting</i> . . . <i>scrapbook</i>.		｜一車𠆢冊
倫	ethics, companion		人亼冊	ethics	ethics		<i>Person</i> . . . <i>meeting</i> . . . <i>scrapbook</i>.		｜一⺅𠆢亅冊
# removed 亟
極	poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48		木丂口又一	poles	poles		The <b>poles</b> this key word refers to are the extremities of the earth or the terminals of an electric field. The elements are: <i>tree</i> . . . <i>snare</i> . . . <i>mouth</i> . . . <i>crotch</i> . . . <i>floor</i>.		口又木一
# removed 奐 and added missing primitives
換	interchange, period, change, convert, replace, renew		扌勹四大	interchange	interchange		<i>Finger</i>s . . . <i>four</i> <i>St. Bernard dogs</i> <i>bound up</i>.		大儿冂勹扌
喚	yell, cry, call, scream, summon		口勹四大	yell	yell		The <i>mouth</i> on the left is obvious. The rest is harder. Try this: <i>four St. Bernard dogs bound up</i> in a bunch. Together they should supply a clear enough portrait of a <b>yell</b>, provided you are careful to see all <i>four</i> of them. Note how the final stroke of the <i>four</i> is supplied by the long horizontal stroke of the <i>St .Bernard</i>.		口大儿冂勹
# removed 畀 and added missing primitives
鼻	nose, snout		自田开	nose	nose		Let me share a rather grotesque image to help with this kanji. Imagine taking your <i>two hands</i> and reaching up into someone's <i>nostrils</i>. Once inside you grab hold of the <i>brain</i> and yank it out. At the end, you would have a picture something like that of this character, the full kanji for <b>nose</b>.		自田廾鼻
# removed 叚
暇	spare time, rest, leisure, time, leave of absence		日[staples]口又	spare time	spare time		The element for <i>day</i> on the left is logical enough. Next to it we see <i>staples</i> being held in <i>mouth</i> (one stroke is doubled up), indicating working in one's hobby or handicrafts at home on one's <b>spare time</b>. The small <i>box</i> at the top right is facing backwards, or more properly "inside out." Finally, we have the <i>crotch</i> at the bottom.		日又
# removed 㠯
遣	dispatch, despatch, send, give, donate, do, undertake		[purse]𠂤辶	dispatch	dispatch		This kanji takes a<i>way</i> the <i>maestro</i>'s baton and replaces it with a <i>purse</i>. The <i>road</i> represents his being <b>dispatched</b> on his <i>way</i> a san obvious misfit. You will remember that when he did have his baton, he was being <i>chased</i> down the <i>road</i> by his fans. All of which shows what a difference a single stroke can make!		｜一口辶
# removed 尤
就	concerning, settle, take position, depart, study, per		京犬儿	concerning	concerning		<i>Capital</i> . . . <i>chihuahua</i> with a <i>human leg</i> in place of one of its paws.		口小丶亠尤尢
稽	think, consider		禾犬儿旨	training	training		Wheat . . . chihuahua with one human leg . . . delicious.		禾日匕尤
# removed 乑. Fix [rags] link
衆	masses, great numbers, multitude, populace		血⺁[rags]	masses	masses		<i>Blood</i> . . . <i>drag</i> . . . <i>rag</i>. Note the abbreviated form of <i>drag</i>: [drag-bottom]		血皿
# removed 夆
峰	summit, peak		山夂丰	summit	summit		<i>Mountain</i> . . . <i>walking legs</i> . . . <i>bushes</i>.		｜一山夂
縫	sew, stitch, embroider		糸夂丰辶	sew	sew		<i>Thread</i> . . . <i>walking legs</i> . . . <i>bushes</i> . . . <i>road</i>.		｜一辶糸幺小夂
蜂	bee, wasp, hornet		虫夂丰	bee	bee		<i>Insect</i> . . . <i>walking legs</i> . . . <i>bushes</i>.		｜一虫夂
# removed 鬲 and added missing primitives
融	dissolve, melt		一口冂儿丁虫	dissolve	dissolve		<i>Ceiling</i> . . . <i>mouth</i> . . . <i>hood</i> . . . <i>human legs</i> . . . <i>spike</i> . . . <i>insect</i>. This is the maximum number of elements <i>to appear in</i> any story in the book.		口虫儿冂鬲
# removed 闌 and added missing primitives
蘭	orchid, Holland		艹門東	orchid	orchid				｜一日木門⺾
欄	column, handrail, blank, space		木門東	column	column		Tree . . . gates . . . east.		｜一日木門田
# removed 胥
